./main.o

    1	     0.002
    2	     0.002
    3	     0.001
    4	     0.002
    5	     0.003
    6	     0.002
    7	     0.002
    8	     0.003
    9	     0.004
   10	     0.003
   11	     0.005
   12	     0.003
   13	     0.004
   14	     0.003
   15	     0.003
   16	     0.004
   17	     0.006
   18	     0.005
   19	     0.007
   20	     0.004
   21	     0.005
   22	     0.005
   23	     0.005
   24	     0.005
   25	     0.009
   26	     0.007
   27	     0.009
   28	     0.007
   29	     0.008
   30	     0.007
   31	     0.006
   32	     0.006
   33	     0.008
   34	     0.007
   35	     0.010
   36	     0.011
   37	     0.007
   38	     0.008
   39	     0.008
   40	     0.008
   41	     0.010
   42	     0.009
   43	     0.013
   44	     0.010
   45	     0.010
   46	     0.009
   47	     0.009
   48	     0.009
   49	     0.016
   50	     0.011
   51	     0.012
   52	     0.010
   53	     0.012
   54	     0.011
   55	     0.011
   56	     0.011
   57	     0.018
   58	     0.011
   59	     0.013
   60	     0.011
   61	     0.015
   62	     0.016
   63	     0.013
   64	     0.014
   65	     0.017
   66	     0.012
   67	     0.013
   68	     0.014
   69	     0.020
   70	     0.019
   71	     0.018
   72	     0.013
   73	     0.015
   74	     0.013
   75	     0.017
   76	     0.016
   77	     0.023
   78	     0.014
   79	     0.019
   80	     0.018
   81	     0.018
   82	     0.016
   83	     0.017
   84	     0.017
   85	     0.018
   86	     0.017
   87	     0.024
   88	     0.025
   89	     0.025
   90	     0.019
   91	     0.016
   92	     0.016
   93	     0.022
   94	     0.017
   95	     0.027
   96	     0.029
   97	     0.029
   98	     0.025
   99	     0.025
  100	     0.021
  101	     0.026
  102	     0.020
  103	     0.022
  104	     0.027
  105	     0.028
  106	     0.029
  107	     0.030
  108	     0.023
  109	     0.031
  110	     0.019
  111	     0.019
  112	     0.024
  113	     0.024
  114	     0.028
  115	     0.033
  116	     0.021
  117	     0.025
  118	     0.023
  119	     0.021
  120	     0.031
  121	     0.024
  122	     0.022
  123	     0.037
  124	     0.021
  125	     0.022
  126	     0.035
  127	     0.023
  128	     0.023
  129	     0.026
  130	     0.037
  131	     0.027
  132	     0.034
  133	     0.023
  134	     0.038
  135	     0.037
  136	     0.031
  137	     0.023
  138	     0.037
  139	     0.024
  140	     0.029
  141	     0.035
  142	     0.031
  143	     0.036
  144	     0.039
  145	     0.036
  146	     0.040
  147	     0.024
  148	     0.026
  149	     0.041
  150	     0.041
  151	     0.032
  152	     0.042
  153	     0.043
  154	     0.043
  155	     0.026
  156	     0.028
  157	     0.028
  158	     0.041
  159	     0.031
  160	     0.044
  161	     0.029
  162	     0.047
  163	     0.032
  164	     0.028
  165	     0.028
  166	     0.045
  167	     0.046
  168	     0.030
  169	     0.029
  170	     0.045
  171	     0.029
  172	     0.029
  173	     0.030
  174	     0.049
  175	     0.050
  176	     0.036
  177	     0.029
  178	     0.045
  179	     0.030
  180	     0.032
  181	     0.032
  182	     0.052
  183	     0.044
  184	     0.030
  185	     0.037
  186	     0.038
  187	     0.033
  188	     0.034
  189	     0.046
  190	     0.051
  191	     0.032
  192	     0.036
  193	     0.038
  194	     0.035
  195	     0.038
  196	     0.033
  197	     0.042
  198	     0.034
  199	     0.033
  200	     0.036
  201	     0.056
  202	     0.038
  203	     0.034
  204	     0.036
  205	     0.038
  206	     0.036
  207	     0.042
  208	     0.034
  209	     0.054
  210	     0.034
  211	     0.048
  212	     0.037
  213	     0.035
  214	     0.035
  215	     0.055
  216	     0.040
  217	     0.057
  218	     0.036
  219	     0.037
  220	     0.040
  221	     0.038
  222	     0.036
  223	     0.059
  224	     0.049
  225	     0.057
  226	     0.047
  227	     0.038
  228	     0.041
  229	     0.045
  230	     0.044
  231	     0.047
  232	     0.045
  233	     0.043
  234	     0.040
  235	     0.038
  236	     0.039
  237	     0.050
  238	     0.052
  239	     0.057
  240	     0.066
  241	     0.066
  242	     0.057
  243	     0.053
  244	     0.044
  245	     0.048
  246	     0.045
  247	     0.071
  248	     0.053
  249	     0.048
  250	     0.055
  251	     0.046
  252	     0.058
  253	     0.045
  254	     0.048
  255	     0.068
  256	     0.049
  257	     0.058
  258	     0.061
  259	     0.066
  260	     0.074
  261	     0.056
  262	     0.057
  263	     0.045
  264	     0.044
  265	     0.069
  266	     0.056
  267	     0.075
  268	     0.059
  269	     0.055
  270	     0.065
  271	     0.046
  272	     0.065
  273	     0.072
  274	     0.068
  275	     0.062
  276	     0.058
  277	     0.046
  278	     0.048
  279	     0.049
  280	     0.064
  281	     0.051
  282	     0.060
  283	     0.073
  284	     0.048
